name,image_url
downward-facing dog pose,https://www.verywellfit.com/thmb/QkT4tvhYgvvqg6PQpZpPFMHRsFQ=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/DownwardFacingDog_annotated-2da4a29772664ed89e3413cf87ff9689.jpg
Camel Pose,https://www.verywellfit.com/thmb/T-YEO2U7TgvTc9cz2bmonKyC5y8=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/CamelPose_annotated-a64d3e6977d04250b5ae442ab07e88a3.jpg
Butterfly Pose,https://yoga-can-do.com/wp-content/uploads/2016/12/butterfl.jpg
Happy Baby Pose,https://yogajala.com/wp-content/uploads/2022/07/Yoga-Pose-Diagrams-3.webp
Cat Cow Pose,https://yogajala.com/wp-content/uploads/2022/03/cat-cow-pose-page.webp
Standing Forward Bend,https://fitsri.com/wp-content/uploads/2020/09/uttanasana-standing-forward-bend.jpg
Dancer's Pose,https://www.verywellfit.com/thmb/sXI2DgtARQdSnms7280WO_RcdBk=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KingDancerPose_annotated-54fce8750051463da1ddd28912e9b22b.jpg
Warrior-2,https://images.squarespace-cdn.com/content/v1/5008a3c6c4aa6450352d2303/1381478084599-M3EUX3YYC3FPH3KNOKEV/warrior-2-other-side.jpg?format=1500w
Wide Legged Forward Fold,https://youaligned.com/wp-content/uploads/2019/11/StraddleFwdFoldPose.jpg
Cobra Pose,https://youaligned.com/wp-content/uploads/2019/11/CobraPose.jpg
Cycling,https://www.healthifyme.com/blog/wp-content/uploads/2022/09/shutterstock_1409500844-1.jpg
Running,https://www.shape.com/thmb/cRr8BCPu67353MUN81nv3S-ftdI=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/How-Much-Do-You-Have-to-Run-to-Enjoy-Its-Benefits-Stocksy-3757617-1b9f997c0f3343f6b3d103ffbaa615bf.jpg
Walking,https://images.healthshots.com/healthshots/en/uploads/2022/09/30142932/walk-770x436.jpg
One Leg Plank Poseÿ,https://youaligned.com/wp-content/uploads/2019/11/OneLegPlankPose.jpg
Legs Up the Wallÿ,https://youaligned.com/wp-content/uploads/2019/11/LegsUpWallPose.jpg
