emotion,quote
1,"There is only one happiness in this life, to love and be loved."
1,Life is full of happiness and tears; be strong and have faith.
1,"Friends show their love in times of trouble, not in happiness."
1,Be happy for this moment. This moment is your life.
1,Happiness is not something you postpone for the future; it is something you design for the present.
1,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it."
1,Happiness radiates like the fragrance from a flower and draws all good things towards you.
1,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!"
1,Love is when the other person's happiness is more important than your own.
1,"Let us never know what old age is. Let us know the happiness time brings, not count the years."
1,The secret to happiness is freedom... And the secret to freedom is courage.
1,"Happiness is having a large, loving, caring, close-knit family in another city."
1,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him."
1,"Every day is a new day, and you'll never be able to find happiness if you don't move on."
1,Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.
1,"Happiness doesn't depend on any external conditions, it is governed by our mental attitude."
1,"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not."
1,"A grateful heart is a beginning of greatness. It is an expression of humility. It is a foundation for the development of such virtues as prayer, faith, courage, contentment, happiness, love, and well-being."
1,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you."
1,The best way to pay for a lovely moment is to enjoy it.
1,Happiness lies in the joy of achievement and the thrill of creative effort.
1,Happiness is the natural flower of duty.
1,The most simple things can bring the most happiness.
1,Family and friendships are two of the greatest facilitators of happiness.
1,"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude."
1,"If you want others to be happy, practice compassion. If you want to be happy, practice compassion."
0,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'"
0,"If you want to conquer fear, don't sit home and think about it. Go out and get busy."
0,"Don't let fear or insecurity stop you from trying new things. Believe in yourself. Do what you love. And most importantly, be kind to others, even if you don't like them."
0,"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?"
0,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear."
0,Remember your dreams and fight for them. You must know what you want from life. There is just one thing that makes your dream become impossible: the fear of failure.
0,"I don't fear death so much as I fear its prologues: loneliness, decrepitude, pain, debilitation, depression, senility. After a few years of those, I imagine death presents like a holiday at the beach."
0,"Courage is resistance to fear, mastery of fear, not absence of fear."
0,"We are afraid to care too much, for fear that the other person does not care at all."
0,"A lot of people would say 'sexy' is about the body. But to me, 'sexy' is a woman with confidence. I admire women who have very little fear."
0,"Some days, 24 hours is too much to stay put in, so I take the day hour by hour, moment by moment. I break the task, the challenge, the fear into small, bite-size pieces. I can handle a piece of fear, depression, anger, pain, sadness, loneliness, illness. I actually put my hands up to my face, one next to each eye, like blinders on a horse."
0,"It is not death that a man should fear, but he should fear never beginning to live."
0,"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration."
0,"With integrity, you have nothing to fear, since you have nothing to hide. With integrity, you will do the right thing, so you will have no guilt."
0,"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones."
0,You always have two choices: your commitment versus your fear.
0,If you know the enemy and know yourself you need not fear the results of a hundred battles.
0,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand."
0,"Every animal has his or her story, his or her thoughts, daydreams, and interests. All feel joy and love, pain and fear, as we now know beyond any shadow of a doubt. All deserve that the human animal afford them the respect of being cared for with great consideration for those interests or left in peace."
0,"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important."
0,Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.
0,"It is better to be feared than loved, if you cannot be both."
0,"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home."
0,"Limits, like fear, is often an illusion."
0,"Even though you may want to move forward in your life, you may have one foot on the brakes. In order to be free, we must learn how to let go. Release the hurt. Release the fear. Refuse to entertain your old pain. The energy it takes to hang onto the past is holding you back from a new life. What is it you would let go of today?"
0,"Courageous people do not fear forgiving, for the sake of peace."
0,"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water."
0,"The good times of today, are the sad thoughts of tomorrow."
0,"It's sad to know I'm done. But looking back, I've got a lot of great memories."
0,Tears come from the heart and not from the brain.
0,"Never make a decision when you are upset, sad, jealous or in love."
0,"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts."
0,The word 'happy' would lose its meaning if it were not balanced by sadness.
0,It's sad when someone you know becomes someone you knew.
0,"I am closest to my mother, as she is my rock, my pillar of strength, and my world. Not only has she stood by me through all times - happy, sad, and otherwise - but there have even been moments when I had completely lost hope, and her immense belief in me had lifted me up."
0,"First, accept sadness. Realize that without losing, winning isn't so great."
0,"Grief is never something you get over. You don't wake up one morning and say, 'I've conquered that; now I'm moving on.' It's something that walks beside you every day. And if you can learn how to manage it and honour the person that you miss, you can take something that is incredibly sad and have some form of positivity."
0,"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love."
0,"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure."
0,Depression is the inability to construct a future.
0,"I do believe that if you haven't learnt about sadness, you cannot appreciate happiness."
0,"Affliction comes to us, not to make us sad but sober; not to make us sorry but wise."
0,"When you wake up each morning, you can choose to be happy or choose to be sad. Unless some terrible catastrophe has occurred the night before, it is pretty much up to you. Tomorrow morning, when the sun shines through your window, choose to make it a happy day."
0,"Crying is cleansing. There's a reason for tears, happiness or sadness."
